2026-05-27 23:06:51,086 | INFO | __main__ | Starting PriliBot...
2026-05-27 23:06:51,087 | INFO | src.db.database | Database connection established: data/prilibot.db
2026-05-27 23:06:51,087 | INFO | src.db.database | Database initialized successfully
2026-05-27 23:06:51,087 | INFO | __main__ | Database ready
2026-05-27 23:06:51,115 | INFO | __main__ | Agent and tools ready
2026-05-27 23:06:51,144 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-27 23:06:51,144 | INFO | src.bot.handler | Bot handlers and daily job registered
2026-05-27 23:06:51,144 | INFO | __main__ | PriliBot is running — polling for messages
2026-05-27 23:06:51,446 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getMe "HTTP/1.1 200 OK"
2026-05-27 23:06:51,528 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/deleteWebhook "HTTP/1.1 200 OK"
2026-05-27 23:06:51,530 | INFO | apscheduler.scheduler | Added job "daily_digest" to job store "default"
2026-05-27 23:06:51,530 | INFO | apscheduler.scheduler | Scheduler started
2026-05-27 23:06:51,531 | INFO | telegram.ext.Application | Application started
2026-05-27 23:07:01,774 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:07:11,572 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:07:12,154 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/sendChatAction "HTTP/1.1 200 OK"
2026-05-27 23:07:12,944 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-27 23:07:15,254 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-27 23:07:19,081 | ERROR | yfinance | 429 Client Error: Too Many Requests for url: https://query2.finance.yahoo.com/v10/finance/quoteSummary/TEVA.TA?modules=financialData%2CquoteType%2CdefaultKeyStatistics%2CassetProfile%2CsummaryDetail&corsDomain=finance.yahoo.com&formatted=false&symbol=TEVA.TA&crumb=Edge%3A+Too+Many+Requests
2026-05-27 23:07:19,896 | ERROR | src.tools.get_stock_data | get_stock_data failed for TEVA.TA: Expecting value: line 1 column 1 (char 0)
2026-05-27 23:07:20,374 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
